stop_id,stop_name
317,vellanaipatti bs
318,serayampalayam
319,brookefields mall / devanga high school
320,telungupalayam pirivu bus stop
321,thondamuthur 3
322,power house
323,sivananda colony
324,puthu palam
325,nggo colony
326,sri murugan nagar
327,thoppampatti pirivu
328,rakkiapalayam pirivu
329,kumaran mills
330,narasimhanaickenpalayam
331,k.s.b.
332,a.v.b. matriculation school / ramanarayana mill
333,gas company
334,ramakrishna mission vivekananda university
335,ranganayagi nagar
336,srkv polytechnic college
337,l.m.w.
338,periyanaickenpalayam
339,pricol
340,vannan kovil
341,jothipuram
342,veerapandi pirivu
343,press colony
344,teachers colony
345,ganapathy colony
346,vattamalaipalayam
347,sengalipalayam
348,cardwell industry
349,maniakarampalayam
350,government high school idigarai
351,indian overseas bank
352,dpf-cyprus oaks
353,damu nagar
354,pattanam
355,ayurvedic hospital
356,ganapathy housing unit
357,sanganoor
358,r.k.g. industrial estate
359,ganesh theatre
360,christ the king church
361,d.s.p. office junction
362,thirumalayampalayam
363,kmch hospital
364,goldwins
365,thottipalayam pirivu bus stop
366,pls nagar
367,rangaswamy goundan pudur
368,chinniyampalayam
369,le meridien
370,neelambur
371,sulur pirivu
372,thennampalayam
373,k.p.r. institute / lpt
374,kollupalayam
375,kaniyur check post
376,kaniyur
377,prema hospital
378,karumathampatti
379,krishnapuram
380,sangeetha theatre
381,somanur bs
382,suguna kalyana mandapam
383,madukkarai market
384,vivekam higher secondary school
385,sri narasimha kovil
386,veerapandi panchayat office
387,vanjimanagar
388,ganeshapuram
389,samichettipalayam
390,kinathukadavu check post
391,arulmigu velayutha swamy temple
392,kinathukadavu
393,malumicham patti panchayat union school
394,sidco malumichampatti
395,coimbatore golf club
396,chettipalayam bs
397,avarampalayam bs
398,ramakrishna hospital
399,jaganatha perumal thiru kovil
400,karadimadai
401,barathipuram
402,kit-kalaignarkarunanidhi institute
403,pallapalayam
404,kannampalayam
405,kannampalayam 1
406,big bazar street
407,bs number 5
408,cheranma nagar
409,kulathupalayam outbound
410,gokulam colony
411,podanur railway station
412,podanur police station
413,sai nagar
414,mayilkal
415,p.v.g. thirumana mahal
416,karuparayan kovil
417,podanur pirivu
418,ondipudur sungam
419,canara bank irugur
420,irugur junction railway station
421,irugur
422,a.g. pudur
423,premier evolvics
424,kulathur
425,neelikonampalayam
426,government higher secondary school ganapathy
427,p.p.g. it
428,s.n.s. college / valiyampalayam pirivu
429,s.n.s. college
430,sri village nagar
431,kodia park
432,info institute of engineering
433,kovilpalayam
434,s.s. kulam
435,v.j. nagar
436,kottaipalayam
437,c.s.i. colony
438,agrahara samakulam
439,thottipalayam
440,vellamadai
441,apollo clinic
442,uzhavar sandhai rs puram
443,vadavalli high school
444,aalamaram
445,navavoor pirivu
446,kalveerampalayam
447,nalvar nagar
448,bharathiyar university 1st gate
449,bharathiyar university 2nd gate
450,i.o.b. colony
451,law college
452,maruthamalai bs
453,seeralapalayam
