stop_id,stop_name,lat,lng
175,mariamman temple,,
176,vrindavan nagar,,
177,veerapandi,,
178,primary hospital,11.0097052,76.9363209
179,veerapandi bs,,
180,government higher secondary school,10.9531117,76.9215713
181,kurichi pirivu,10.9660449,76.9636929
182,kurichi pirivu housing unit,,
183,iyer hospital,11.0207457,76.9706011
184,sundarapuram,10.9521673,76.9758815
185,sidco,10.9379091,76.9660872
186,k.p.m. matriculation school,11.0258012,76.9701584
187,rathinam college,10.9346185,76.9786341
188,eachanari,10.9239252,76.9824504
189,karpagam university,10.8826914,77.0122716
190,ganesh nagar,11.0172902,76.9226414
191,malumichampatti junction,10.9371931,76.9996318
192,malumichampatti,10.9371931,76.9996318
193,hindustan college,11.0126075,76.9931112
194,othakal mandapam,,
195,womens polytechnic,10.9933077,76.9630455
196,r.t.o.,11.0093260,76.9751453
197,stanes higher secondary school,11.0063593,76.9724885
198,anna statue,11.0163056,76.9703426
199,karpagam medical college & hospital,10.8855835,77.0080038
200,premier mills,11.0432759,77.0384269
201,ckit institute,,
202,polytechnic college,11.0159476,76.9758650
203,vivek vidyalaya matric higher secondary school,10.9690480,77.0029808
204,v.s.b. college of engineering,10.8923726,76.9931964
205,mailrapalayam,,
206,arasampalayam,,
207,gandhi park corporation complex,11.0006669,76.9497713
208,r.s. puram boys higher secondary school,10.9968977,76.9648158
209,shri nehru vidyalaya,10.9641976,76.9556374
210,lawley road,11.0136038,76.9417304
211,government college of technology,11.0196162,76.9365414
212,vel international public school,,
213,kasi nanjegoundan pudur,11.0089639,76.9345375
214,v.k.r. nagar,,
215,subramaniam palayam,11.0060644,76.9546940
216,cheran colony,11.0520411,76.9453350
217,pachapalayam junction,11.1254450,77.0926320
218,kalampalayam,10.9708666,76.8945654
219,thuruthipallam,,
220,chellappa goundan puthur,11.0081156,76.9632956
221,madampatti,,
222,indira nagar,11.0465015,77.0443976
223,sennanur thanneer pandal,,
224,spic,,
225,chithrai chavadi,,
226,pooluvapatti,,
227,srinivasapuram,,
228,alandurai high school,,
229,aalandurai,,
230,oriental insurance,10.9925321,76.9574812
231,lakshmipuram,11.0258012,76.9701584
232,tex tool / velan theatre,11.0453382,77.0343417
233,ganapathy,11.0365596,76.9692573
234,surya hospital,11.0390101,76.9795170
235,c.m.s. school,,
236,athipalayam junction,11.1291418,76.9807251
237,bharathi nagar,11.0471906,76.9890493
238,ramakrishna mill,11.1022191,76.9657051
239,l.g.b. nagar,,
240,sivanandha mills,11.0606146,77.0081128
241,marakadai,,
242,k.p.r. mill,,
243,gknm hospital,,
244,lakshmi mills,11.0135433,76.9865933
245,nava india,,
246,suguna kalyana mandapam bus stop,11.0094291,76.9813119
247,p.s.g. tech / peelamedu,11.0269577,76.9945813
248,krishnamal college,,
249,fun mall,11.0243517,77.0106613
250,varatharaja mills,,
251,hope college,11.0257673,77.0166097
252,c.i.t.,,
253,codissia,11.0304846,77.0281885
254,arvind eye hospital,11.0153158,76.9539881
255,sitra airport,11.0368750,77.0362113
256,nehru nagar,,
257,periyar nagar,11.0171544,76.9688689
258,n.g.p. college,11.0609992,77.0337770
259,kmch college of pharmacy,11.0404121,77.0408824
260,lakshmi technology,11.0122576,76.9881902
261,kalapatti,11.0787684,77.0370419
262,vanthavalam,,
263,singanallur police station,11.0028585,77.0234948
264,tamilnadu agricultural university main gate,11.0431074,76.8636149
265,botanical garden,11.0168659,76.9318532
266,mullai nagar,11.1024728,77.0214252
267,vadavalli,11.0253387,76.9051251
268,poosaripalayam,11.0474698,76.9712356
269,panaimarathoor,,
270,moongathur,,
271,veerakeralam,,
272,nagarajapuram main,,
273,nambialaganpalayam,,
274,p.s.g. high school vedapatti,10.9617126,76.9693114
275,sethu vidyalaya,,
276,sundapalayam,,
277,onapalayam,,
278,uliyampaalayam,,
279,deenampalayam,11.0022870,76.8579081
280,pudhupalayam,,
281,kulathupalayam,,
282,thondamuthur 2,11.0007686,76.8876751
283,thondamuthur,11.0007686,76.8876751
284,vandikaranur pirivu more,,
